Handle,Title,Body,Vendor,Type,Tags,Published,Option1 Name,Option1_Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant_Grams,Variant_Inventory_Tracker,Variant_Inventory_Qty,Variant_Inventory_Policy,Variant_Fulfillment_Service,Variant_Price,Variant Compare At Price,Variant_Requires_Shipping,Variant_Taxable,Variant Barcode,Image_Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
led-high-tops,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",Liam Fashions,,men,TRUE,Title,US 8,,,,,,356,shopify,14,continue,manual,74,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/putting-on-your-shoes_925x_f71c19ac-c091-4c7f-bbfe-a43d6a0456b7.jpg?v=1545334661,1,Man doing up his LED high top running shoes,FALSE,,,,,,,,,,,,,,,,,g,,
led-high-tops,,,,,,,,US 9,,,,,,230,shopify,4,continue,manual,41,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
led-high-tops,,,,,,,,US 10,,,,,,470,shopify,14,continue,manual,41,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
led-high-tops,,,,,,,,US 11,,,,,,312,shopify,6,continue,manual,51,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
led-high-tops,,,,,,,,US 12,,,,,,403,shopify,4,continue,manual,33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
striped-skirt-and-top,Striped Skirt and Top,Black cotton top with matching striped skirt.,Liam Fashions,,women,TRUE,Title,xs,,,,,,471,shopify,2,continue,manual,57,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/woman-in-the-city_925x_34c54a7d-e2a0-48fe-a169-fde33a735aef.jpg?v=1545335011,1,woman wearing striped skirt and black tank top,FALSE,,,,,,,,,,,,,,,,,g,,
striped-skirt-and-top,,,,,,,,small,,,,,,480,shopify,0,continue,manual,38,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
striped-skirt-and-top,,,,,,,,medium,,,,,,389,shopify,1,continue,manual,54,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
striped-skirt-and-top,,,,,,,,large,,,,,,376,shopify,11,continue,manual,50,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
striped-skirt-and-top,,,,,,,,xl,,,,,,323,shopify,8,continue,manual,34,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
striped-skirt-and-top,,,,,,,,xxl,,,,,,310,shopify,14,continue,manual,52,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
olive-green-jacket,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,Liam Fashions,,women,TRUE,Title,xs,,,,,,368,shopify,0,continue,manual,49,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/urban-fashion_925x_353f971d-ec3e-4218-9437-28cc7cdb0af2.jpg?v=1545334827,1,woman wearing olive green jacket in front of graffiti,FALSE,,,,,,,,,,,,,,,,,g,,
olive-green-jacket,,,,,,,,small,,,,,,273,shopify,12,continue,manual,77,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
olive-green-jacket,,,,,,,,medium,,,,,,348,shopify,9,continue,manual,34,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
olive-green-jacket,,,,,,,,large,,,,,,242,shopify,2,continue,manual,73,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
olive-green-jacket,,,,,,,,xl,,,,,,387,shopify,16,continue,manual,43,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
olive-green-jacket,,,,,,,,xxl,,,,,,234,shopify,14,continue,manual,53,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
red-sports-tee,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,Liam Fashions,,women,TRUE,Title,xs,,,,,,300,shopify,9,continue,manual,40,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/womens-red-t-shirt_925x_bcf81605-4475-46c0-a85c-2f8b2fca729a.jpg?v=1545334853,1,woman wearing red sports tee,FALSE,,,,,,,,,,,,,,,,,g,,
red-sports-tee,,,,,,,,small,,,,,,395,shopify,8,continue,manual,43,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
red-sports-tee,,,,,,,,medium,,,,,,409,shopify,18,continue,manual,50,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
red-sports-tee,,,,,,,,large,,,,,,256,shopify,15,continue,manual,42,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
red-sports-tee,,,,,,,,xl,,,,,,329,shopify,20,continue,manual,72,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
red-sports-tee,,,,,,,,xxl,,,,,,372,shopify,16,continue,manual,51,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
blue-silk-tuxedo,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,Liam Fashions,,men,TRUE,Title,xs,,,,,,457,shopify,16,continue,manual,78,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/man-adjusts-blue-tuxedo-bowtie_925x_656f2a36-34a8-4db2-9701-c01e49e9e5c0.jpg?v=1545334369,1,Man wearing blue silk tuxedo,FALSE,,,,,,,,,,,,,,,,,g,,
blue-silk-tuxedo,,,,,,,,small,,,,,,346,shopify,9,continue,manual,60,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
blue-silk-tuxedo,,,,,,,,medium,,,,,,268,shopify,14,continue,manual,47,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
blue-silk-tuxedo,,,,,,,,large,,,,,,230,shopify,17,continue,manual,60,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
blue-silk-tuxedo,,,,,,,,xl,,,,,,341,shopify,10,continue,manual,30,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
blue-silk-tuxedo,,,,,,,,xxl,,,,,,484,shopify,2,continue,manual,44,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
white-cotton-shirt,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,Liam Fashions,,women,TRUE,Title,xs,,,,,,399,shopify,0,continue,manual,67,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/smiling-woman-poses_925x_14ecaa8e-2b1e-4b49-bbaf-470b9b3a8407.jpg?v=1545335038,1,woman wearing white button up shirt,FALSE,,,,,,,,,,,,,,,,,g,,
white-cotton-shirt,,,,,,,,small,,,,,,245,shopify,17,continue,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
white-cotton-shirt,,,,,,,,medium,,,,,,402,shopify,3,continue,manual,55,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
white-cotton-shirt,,,,,,,,large,,,,,,462,shopify,7,continue,manual,69,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
white-cotton-shirt,,,,,,,,xl,,,,,,425,shopify,5,continue,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
white-cotton-shirt,,,,,,,,xxl,,,,,,481,shopify,0,continue,manual,77,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
chequered-red-shirt,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",Liam Fashions,,men,TRUE,Title,xs,,,,,,423,shopify,13,continue,manual,68,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/red-plaid-shirt_925x_95025b1f-2c44-4e88-a102-cf1d98afa514.jpg?v=1545334435,1,Man wearing chequered red and black shirt,FALSE,,,,,,,,,,,,,,,,,g,,
chequered-red-shirt,,,,,,,,small,,,,,,472,shopify,12,continue,manual,58,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
chequered-red-shirt,,,,,,,,medium,,,,,,431,shopify,6,continue,manual,49,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
chequered-red-shirt,,,,,,,,large,,,,,,384,shopify,19,continue,manual,31,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
chequered-red-shirt,,,,,,,,xl,,,,,,207,shopify,15,continue,manual,70,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
chequered-red-shirt,,,,,,,,xxl,,,,,,330,shopify,14,continue,manual,48,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
longsleeve-cotton-top,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",Liam Fashions,,women,TRUE,Title,xs,,,,,,453,shopify,7,continue,manual,52,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/woman-outside-brownstone_925x_cbc014a2-b37b-4eda-bd6c-71c0ec7249b3.jpg?v=1545334696,1,woman wearing long sleeve cotton black top,FALSE,,,,,,,,,,,,,,,,,g,,
longsleeve-cotton-top,,,,,,,,small,,,,,,328,shopify,6,continue,manual,63,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
longsleeve-cotton-top,,,,,,,,medium,,,,,,323,shopify,2,continue,manual,44,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
longsleeve-cotton-top,,,,,,,,large,,,,,,476,shopify,20,continue,manual,35,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
longsleeve-cotton-top,,,,,,,,xl,,,,,,254,shopify,1,continue,manual,76,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
longsleeve-cotton-top,,,,,,,,xxl,,,,,,203,shopify,15,continue,manual,76,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
silk-summer-top,Silk Summer Top,Silk womens top with short sleeves and number pattern.,Liam Fashions,,women,TRUE,Title,xs,,,,,,219,shopify,19,continue,manual,40,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/young-hip-woman-at-carnival_925x_710974da-04df-42cc-9917-0b560eca41b7.jpg?v=1545334886,1,woman wearing silk summer top tied in the front,FALSE,,,,,,,,,,,,,,,,,g,,
silk-summer-top,,,,,,,,small,,,,,,216,shopify,19,continue,manual,62,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
silk-summer-top,,,,,,,,medium,,,,,,276,shopify,10,continue,manual,61,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
silk-summer-top,,,,,,,,large,,,,,,208,shopify,17,continue,manual,54,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
silk-summer-top,,,,,,,,xl,,,,,,392,shopify,5,continue,manual,33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
silk-summer-top,,,,,,,,xxl,,,,,,213,shopify,8,continue,manual,60,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
zipped-jacket,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,Liam Fashions,,men,TRUE,Title,xs,,,,,,210,shopify,20,continue,manual,76,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/menswear-blue-zip-up-jacket_925x_e0818abb-a8f8-4085-89ef-456eb0dfe832.jpg?v=1545335142,1,man wearing a half blue and half black zip up sport jacket,FALSE,,,,,,,,,,,,,,,,,g,,
zipped-jacket,,,,,,,,small,,,,,,374,shopify,3,continue,manual,42,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
zipped-jacket,,,,,,,,medium,,,,,,321,shopify,15,continue,manual,56,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
zipped-jacket,,,,,,,,large,,,,,,362,shopify,18,continue,manual,53,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
zipped-jacket,,,,,,,,xl,,,,,,342,shopify,4,continue,manual,73,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
zipped-jacket,,,,,,,,xxl,,,,,,346,shopify,4,continue,manual,64,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-winter-jacket,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",Liam Fashions,,women,TRUE,Title,xs,,,,,,393,shopify,8,continue,manual,52,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/smiling-woman-on-snowy-afternoon_925x_ad2c8ae3-c078-494a-a484-40f5ae728f55.jpg?v=1545334921,1,woman wearing black wool winter jacket,FALSE,,,,,,,,,,,,,,,,,g,,
dark-winter-jacket,,,,,,,,small,,,,,,382,shopify,8,continue,manual,42,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-winter-jacket,,,,,,,,medium,,,,,,336,shopify,14,continue,manual,57,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-winter-jacket,,,,,,,,large,,,,,,377,shopify,18,continue,manual,78,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-winter-jacket,,,,,,,,xl,,,,,,342,shopify,20,continue,manual,51,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-winter-jacket,,,,,,,,xxl,,,,,,329,shopify,4,continue,manual,79,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
navy-sport-jacket,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",Liam Fashions,,men,TRUE,Title,xs,,,,,,282,shopify,10,continue,manual,63,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/mens-fall-fashion-jacket_925x_2d391ff5-5a8d-489b-ad4c-db655113c9a3.jpg?v=1545334741,1,Man wearing a navy sports jacket from behind,FALSE,,,,,,,,,,,,,,,,,g,,
navy-sport-jacket,,,,,,,,small,,,,,,282,shopify,9,continue,manual,33,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
navy-sport-jacket,,,,,,,,medium,,,,,,310,shopify,2,continue,manual,38,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
navy-sport-jacket,,,,,,,,large,,,,,,396,shopify,5,continue,manual,65,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
navy-sport-jacket,,,,,,,,xl,,,,,,463,shopify,11,continue,manual,75,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
navy-sport-jacket,,,,,,,,xxl,,,,,,468,shopify,7,continue,manual,57,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-denim-top,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",Liam Fashions,,women,TRUE,Title,xs,,,,,,211,shopify,18,continue,manual,66,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/young-female-models-denim_925x_a726eac9-219c-4d70-b448-9c807a49feeb.jpg?v=1545334576,1,Woman wearing a denim jacket at an amusement park,FALSE,,,,,,,,,,,,,,,,,g,,
dark-denim-top,,,,,,,,small,,,,,,443,shopify,13,continue,manual,57,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-denim-top,,,,,,,,medium,,,,,,288,shopify,6,continue,manual,40,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-denim-top,,,,,,,,large,,,,,,487,shopify,8,continue,manual,40,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-denim-top,,,,,,,,xl,,,,,,425,shopify,6,continue,manual,64,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
dark-denim-top,,,,,,,,xxl,,,,,,342,shopify,17,continue,manual,39,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
classic-leather-jacket,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",Liam Fashions,,women,TRUE,Title,xs,,,,,,290,shopify,14,continue,manual,40,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0018/5617/6150/products/leather-jacket-and-tea_925x_e917107c-d13e-4260-91a6-0ed33f12e7e1.jpg?v=1545334470,1,woman wearing classic biker-style leather jacket,FALSE,,,,,,,,,,,,,,,,,g,,
classic-leather-jacket,,,,,,,,small,,,,,,485,shopify,19,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
classic-leather-jacket,,,,,,,,medium,,,,,,331,shopify,15,continue,manual,46,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
classic-leather-jacket,,,,,,,,large,,,,,,471,shopify,7,continue,manual,60,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,g,,
